class_uri,instance_count
http://purl.obolibrary.org/obo/NCIT_C25338,10253
https://biodatafuse.org/onto/bdf#DisGeNET_Evidence_Index,8920
http://semanticscience.org/resource/SIO_000983,7856
http://purl.obolibrary.org/obo/NCIT_C7057,2927
http://purl.obolibrary.org/obo/NCIT_C16612,1731
http://semanticscience.org/resource/SIO_001077,1305
http://purl.obolibrary.org/obo/PW_0000001,1179
http://semanticscience.org/resource/SIO_010038,562
http://purl.obolibrary.org/obo/NCIT_C17021,374
https://vocabularies.wikipathways.org/wp#Interaction,297
http://purl.obolibrary.org/obo/NCIT_C172573,275
https://biodatafuse.org/onto/bdf#DisGeNET_Evidence_Level,245
http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat,130
http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat,98
http://aopkb.org/aop_ontology#KeyEvent,37
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,23
http://semanticscience.org/resource/SIO_001262,17
http://www.w3.org/2000/01/rdf-schema#Class,15
https://schema.org/WebAPI,11
http://www.openlinksw.com/schemas/virtrdf#QuadMapValue,8
http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn,8
http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn,8
http://aopkb.org/aop_ontology#AOP,6
http://www.w3.org/2002/07/owl#AnnotationProperty,5
http://www.w3.org/ns/dcat#Dataset,4
http://www.w3.org/ns/dcat#DataService,4
http://www.w3.org/2002/07/owl#OntologyProperty,4
http://rdfs.org/ns/void#Dataset,4
http://www.openlinksw.com/schemas/virtrdf#QuadMapFText,4
http://www.w3.org/2002/07/owl#Class,3
http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,3
http://semanticscience.org/resource/SIO_000750,3
http://www.openlinksw.com/schemas/virtrdf#QuadStorage,3
http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable,2
http://www.openlinksw.com/schemas/virtrdf#array-of-string,2
http://www.openlinksw.com/schemas/virtrdf#QuadMapATable,2
http://www.openlinksw.com/schemas/virtrdf#QuadMap,2
http://purl.obolibrary.org/obo/IAO_0000013,1
http://www.w3.org/ns/sparql-service-description#Service,1
https://schema.org/Person,1
http://www.w3.org/2002/07/owl#Ontology,1
http://xmlns.com/foaf/0.1/Person,1
http://www.w3.org/ns/dcat#Catalog,1
http://purl.obolibrary.org/obo/NCIT_C43531,1
